Timestamp,How old are you?,Gender:,Job:,Do you use the metro?,Which metro do you use more?,How many days do you usually use the metro each week?,Do you usually pay for your ticket? (Your answer is completely anonymous!),Have you ever tried to not pay?,Can you tell us how that experience did go? Was it easy? Did you fear you might get caught? Have you been controlled?,Why do you sometimes prefer not to pay for your ticket?,Can you tell us why you’ve never tried on a free ride?,Do you easily notice when someone doesn't pay for his/her ride?,"If someone wants you to help him to not pay for his ticket, would you do so? Why?",What is your reaction when you see someone passing through (the barrier if it is in Lisboa) without paying?,"There is a warning light on the floor and an alarm sound, which are activated as soon as someone passes without a valid ticket. Would you be more likely to pay in this case?",Would this motivate you to judge someone who is not paying?,"In such a case, would you consider calling that person?",And would you consider calling a nearby authority?,...cheaper?,...quicker to buy a ticket?,...easier to buy a ticket?,How pleased are you with the use of the Metro ?,What would you recommend to increase the general satisfaction of the metro users ?
15/10/2018 18:40:40,,,,Yes,,4,Yes,"No, I always paid for my ride",,,"It's against the law, I couldn't do it! ",No,"No, because I find it weird",I just carry on with my life,Yes,Yes,Yes,Yes,,,,,
16/10/2018 18:37:07,25 - 34,Female/ Feminio,Student/ Estudante,Yes,Lisboa,3,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,"Because in Lisbon it's almost impossible to not paying (I'm from Germany, there you can enter the metro without those gates)",Yes / Sim,No. Because I think it's not fair not to pay.,"I'm getting angry, but usually I don't say anything ",Yes / Sim,Yes / Sim,Yes / Sim,Maybe / Talvez,No / Não,Yes / Sim,No / Não,7,I think it's already good 
16/10/2018 18:38:57,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Porto,4,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","Foi fácil, não houve grande segurança pelo caminho",It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa,,Yes / Sim,"Claro, a máquina de compra pode ser complicada para algumas pessoas e não custa ajudar","Nenhuma, é uma escolha pessoal de cada um, há consequências ",Yes / Sim,Yes / Sim,No / Não,Yes / Sim,Yes / Sim,Yes / Sim,Yes / Sim,7," Maior facilidade na compra do bilhete, maior afluência de transportes"
16/10/2018 18:41:54,18 - 24,Female/ Feminio,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","So o fiz porque o meu cartão entre viagens não passou para sair. Mas sim, tive medo",Prefiro pagar sempre,,Yes / Sim,"Não, todos devemos pagar um serviço que utilizamos. Pelo menos assim temos maiores possibilidades de que o serviço melhore.",Nenhuma. ,Yes / Sim,Yes / Sim,No / Não,Yes / Sim,Yes / Sim,Yes / Sim,Yes / Sim,8,Mais frequência de metros. Melhoria das cancelas
16/10/2018 18:43:15,18 - 24,Male/ Masculino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,1,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","I had a little bit of fear, but it was very easy to do",It saves money. / Para poupar dinheiro,,Yes / Sim,"I would help, but it happens very rarely",Its so common that i ignore it,Maybe / Talvez,Yes / Sim,No / Não,No / Não,Yes / Sim,Yes / Sim,Yes / Sim,7,"Less problems in the line, more trains in rush hour"
16/10/2018 18:44:36,18 - 24,Female/ Feminio,Student/ Estudante,Yes,Lisboa,0,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,"Faz parte das regras do serviço pagar bilhete. É estúpido e é injusto para as pessoas que pagam uma pessoa usar o serviço sem pagar bilhete. E se uma pessoa for apanhada sem bilhete tem consequências (por exemplo, nos comboios da cp paga-se x vezes o bilhete mínimo; não sei o que metro faz).  ",No / Não,"Não, todas as pessoas devem pagar. ","Acho injusto, pois todos deviam pagar. ",Yes / Sim,Yes / Sim,No / Não,Maybe / Talvez,Yes / Sim,Yes / Sim,Yes / Sim,5,"Nas horas de ponta, ter metros mais frequentes para as pessoas não ficarem entaladas como se estivessem numa lata de sardinhas. "
16/10/2018 18:47:42,18 - 24,Female/ Feminio,Student/ Estudante,Yes,Porto,3,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",Quando tento fazer isso é só uma ou duas paragens. ,"It saves money. / Para poupar dinheiro, It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa, Por vezes é só por uma paragem a mais das zonas que possuo",,No / Não,"Se for por falta de dinheiro, ou por uma paragem, sim","Nenhuma, uma vez que também o faço",Yes / Sim,No / Não,Maybe / Talvez,No / Não,Yes / Sim,Yes / Sim,Yes / Sim,4,"Melhores condições (limpeza, por exemplo), bilhetes mais baratos"
16/10/2018 18:52:39,25 - 34,Male/ Masculino,Student/ Estudante,No,,,,,,,,,,,,,,,No / Não,No / Não,No / Não,6,QUE METRO VENHA ATE CARNAXIDE
16/10/2018 18:53:57,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,2,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,BECAUSE IT IS WRONG AND MY MOTHER ALWAYS TOLD ME TO PRACTICE THE GOOD AND NOT TO CHEAT.,Yes / Sim,"I tell them no, because my mother taught me so.",No reaction,Yes / Sim,Maybe / Talvex,Maybe / Talvez,Maybe / Talvez,Yes / Sim,Yes / Sim,No / Não,7,Mais carruagens.
16/10/2018 18:55:37,18 - 24,Male/ Masculino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,5,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","Once I had 60 euros on my wallet - 3 bills of 20, which you can't use on subway machines. So... I didn't pay, although I had more than enough on me.
And no. I never felt I might get caught, simply because only once I saw a supervisor coming into the subway and checking tickets.",When I forget to bring less than 20 euro bils.,,Yes / Sim,Why bother?  It's not like they won't pass... At least you avoid trouble early in the morning.,"I pay for it (except a couple times..), so I don't like it.",Yes / Sim,Yes / Sim,No / Não,No / Não,Yes / Sim,Yes / Sim,Yes / Sim,8,The line not breaking down so often.
